model,forecast_target,rolling_step,horizon_step,target_index,target_date,predicted_value,true_value,error,absolute_error,squared_error
drift,relative_return,0,1,60,2024-10-02T00:00:00,-0.002083152299746871,0.015811920166015625,-0.01789507269859314,0.01789507269859314,0.00032023362688793355
drift,relative_return,0,2,61,2024-10-03T00:00:00,-0.004166304599493742,0.04999995231628418,-0.05416625738143921,0.05416625738143921,0.0029339834387123176
drift,relative_return,0,3,62,2024-10-04T00:00:00,-0.006249457132071257,0.06769227981567383,-0.07394173741340637,0.07394173741340637,0.00546738053171314
drift,relative_return,0,4,63,2024-10-07T00:00:00,-0.008332609198987484,0.09162390232086182,-0.09995651245117188,0.09995651245117188,0.009991304381401278
drift,relative_return,0,5,64,2024-10-08T00:00:00,-0.010415761731564999,0.1358119249343872,-0.14622768759727478,0.14622768759727478,0.02138253662004619
drift,relative_return,1,1,65,2024-10-09T00:00:00,0.0008328533149324358,-0.001806020736694336,0.0026388741098344326,0.0026388741098344326,6.963656567554469e-06
drift,relative_return,1,2,66,2024-10-10T00:00:00,0.0016657066298648715,0.014448046684265137,-0.012782339937984943,0.012782339937984943,0.00016338821429020493
drift,relative_return,1,3,67,2024-10-11T00:00:00,0.00249856011942029,0.014372825622558594,-0.011874265968799591,0.011874265968799591,0.0001409981922977921
drift,relative_return,1,4,68,2024-10-14T00:00:00,0.003331413259729743,0.03897964954376221,-0.03564823791384697,0.03564823791384697,0.0012707968663622365
drift,relative_return,1,5,69,2024-10-15T00:00:00,0.004164266865700483,-0.009707212448120117,0.013871479779481888,0.013871479779481888,0.00019241795127257488
drift,relative_return,2,1,70,2024-10-16T00:00:00,0.0011604250175878406,0.03130698204040527,-0.030146557837724686,0.030146557837724686,0.0009088149494632797
drift,relative_return,2,2,71,2024-10-17T00:00:00,0.002320850035175681,0.04050147533416748,-0.038180626928806305,0.038180626928806305,0.0014577602726766892
drift,relative_return,2,3,72,2024-10-18T00:00:00,0.0034812749363482,0.048632144927978516,-0.045150868594646454,0.045150868594646454,0.0020386009348510314
drift,relative_return,2,4,73,2024-10-21T00:00:00,0.004641700070351362,0.09202122688293457,-0.08737953007221222,0.08737953007221222,0.0076351822756406396
drift,relative_return,2,5,74,2024-10-22T00:00:00,0.005802125204354525,0.09110939502716064,-0.08530727028846741,0.08530727028846741,0.007277330364069634
drift,relative_return,3,1,75,2024-10-23T00:00:00,0.004705014638602734,-0.028066039085388184,0.03277105465531349,0.03277105465531349,0.001073942023221544
drift,relative_return,3,2,76,2024-10-24T00:00:00,0.009410029277205467,-0.02214634418487549,0.031556375324726105,0.031556375324726105,0.0009958048236349826
drift,relative_return,3,3,77,2024-10-25T00:00:00,0.014115044847130775,-0.01427680253982544,0.028391847386956215,0.028391847386956215,0.0008060969980442124
drift,relative_return,3,4,78,2024-10-28T00:00:00,0.018820058554410934,-0.021380245685577393,0.04020030423998833,0.04020030423998833,0.0016160644609876235
drift,relative_return,3,5,79,2024-10-29T00:00:00,0.023525074124336243,-0.01629638671875,0.03982146084308624,0.03982146084308624,0.0015857487436774509
drift,relative_return,4,1,80,2024-10-30T00:00:00,0.004439778160303831,-0.013522148132324219,0.017961926758289337,0.017961926758289337,0.0003226308128701505
drift,relative_return,4,2,81,2024-10-31T00:00:00,0.008879556320607662,-0.06010621786117554,0.06898577511310577,0.06898577511310577,0.004759037167956004
drift,relative_return,4,3,82,2024-11-01T00:00:00,0.01331933494657278,-0.0414159893989563,0.054735325276851654,0.054735325276851654,0.0029959558331627556
drift,relative_return,4,4,83,2024-11-04T00:00:00,0.017759112641215324,-0.03681415319442749,0.054573267698287964,0.054573267698287964,0.0029782415472690005
drift,relative_return,4,5,84,2024-11-05T00:00:00,0.022198891267180443,-0.009486675262451172,0.031685568392276764,0.031685568392276764,0.0010039752443416483
drift,relative_return,5,1,85,2024-11-06T00:00:00,0.0028795760590583086,0.0407404899597168,-0.03786091506481171,0.03786091506481171,0.001433448889544886
drift,relative_return,5,2,86,2024-11-07T00:00:00,0.005759152118116617,0.06411266326904297,-0.05835350975394249,0.05835350975394249,0.0034051321006034613
drift,relative_return,5,3,87,2024-11-08T00:00:00,0.008638727478682995,0.055178284645080566,-0.046539556235075,0.046539556235075,0.002165930294557708
drift,relative_return,5,4,88,2024-11-11T00:00:00,0.011518304236233234,0.0382387638092041,-0.026720460504293442,0.026720460504293442,0.0007139830095615057
drift,relative_return,5,5,89,2024-11-12T00:00:00,0.0143978800624609,0.05989551544189453,-0.04549763351678848,0.04549763351678848,0.0020700346556279947
drift,relative_return,6,1,90,2024-11-13T00:00:00,0.0024048155173659325,-0.013621866703033447,0.016026683151721954,0.016026683151721954,0.00025685457284568836
drift,relative_return,6,2,91,2024-11-14T00:00:00,0.004809631034731865,-0.010317623615264893,0.015127254649996758,0.015127254649996758,0.00022883383324584852
drift,relative_return,6,3,92,2024-11-15T00:00:00,0.00721444608643651,-0.04255175590515137,0.04976620152592659,0.04976620152592659,0.002476674814319138
drift,relative_return,6,4,93,2024-11-18T00:00:00,0.00961926206946373,-0.05489242076873779,0.06451168656349182,0.06451168656349182,0.004161757703266211
drift,relative_return,6,5,94,2024-11-19T00:00:00,0.012024076655507088,-0.008631706237792969,0.020655782893300056,0.020655782893300056,0.00042666136693514725
drift,relative_return,7,1,95,2024-11-20T00:00:00,0.0021571223624050617,-0.0076184868812561035,0.009775608777999878,0.009775608777999878,9.556252698050827e-05
drift,relative_return,7,2,96,2024-11-21T00:00:00,0.0043142447248101234,-0.0023127198219299316,0.006626964546740055,0.006626964546740055,4.3916659103749624e-05
drift,relative_return,7,3,97,2024-11-22T00:00:00,0.006471367087215185,-0.03441941738128662,0.040890783071517944,0.040890783071517944,0.0016720561402019385
