model,rolling_step,horizon_step,target_index,predicted_value,locked
previous_patch,27,5,31,-0.07605962455272675,True
previous_patch,28,1,28,0.2728259563446045,True
previous_patch,28,2,29,-0.021511316299438477,True
previous_patch,28,3,30,0.2958667278289795,True
previous_patch,28,4,31,0.291806697845459,True
previous_patch,28,5,32,0.568489134311676,True
previous_patch,29,1,29,0.2839846611022949,True
previous_patch,29,2,30,0.010267019271850586,True
previous_patch,29,3,31,0.28138887882232666,True
previous_patch,29,4,32,0.3025325536727905,True
previous_patch,29,5,33,-0.371865451335907,True
previous_patch,30,1,30,0.3312997817993164,True
previous_patch,30,2,31,0.011181831359863281,True
previous_patch,30,3,32,0.3078848123550415,True
previous_patch,30,4,33,0.3150200843811035,True
previous_patch,30,5,34,0.35113725066185,True
previous_patch,31,1,31,0.3611043691635132,True
previous_patch,31,2,32,0.02028357982635498,True
previous_patch,31,3,33,0.34406113624572754,True
previous_patch,31,4,34,0.3320603370666504,True
previous_patch,31,5,35,0.1200777068734169,True
previous_patch,32,1,32,0.3948173522949219,True
previous_patch,32,2,33,-0.028101027011871338,True
previous_patch,32,3,34,0.3892340660095215,True
previous_patch,32,4,35,0.35369861125946045,True
previous_patch,32,5,36,-0.18746499717235565,True
previous_patch,33,1,33,0.3442143201828003,True
previous_patch,33,2,34,0.0015935897827148438,True
previous_patch,33,3,35,0.37283849716186523,True
previous_patch,33,4,36,0.3532450199127197,True
previous_patch,33,5,37,-0.2061994969844818,True
previous_patch,34,1,34,0.3488372564315796,True
previous_patch,34,2,35,0.04725301265716553,True
previous_patch,34,3,36,0.3195842504501343,True
previous_patch,34,4,37,0.34047746658325195,True
previous_patch,34,5,38,-0.011463556438684464,True
previous_patch,35,1,35,0.2752366065979004,True
previous_patch,35,2,36,0.01623368263244629,True
previous_patch,35,3,37,0.29982519149780273,True
previous_patch,35,4,38,0.32910704612731934,True
previous_patch,35,5,39,0.18814407289028168,True
previous_patch,36,1,36,0.27209317684173584,True
previous_patch,36,2,37,0.015696167945861816,True
previous_patch,36,3,38,0.2807190418243408,True
previous_patch,36,4,39,0.31746137142181396,True
previous_patch,36,5,40,0.07722432911396027,True
previous_patch,37,1,37,0.22381436824798584,True
previous_patch,37,2,38,0.015125870704650879,True
previous_patch,37,3,39,0.2571614980697632,True
previous_patch,37,4,40,0.30884242057800293,True
previous_patch,37,5,41,0.06831565499305725,True
previous_patch,38,1,38,0.2773439884185791,True
previous_patch,38,2,39,-0.04932481050491333,True
previous_patch,38,3,40,0.2545337677001953,True
previous_patch,38,4,41,0.30724024772644043,True
previous_patch,38,5,42,0.12915575504302979,True
previous_patch,39,1,39,0.28079938888549805,True
previous_patch,39,2,40,0.013131499290466309,True
previous_patch,39,3,41,0.27517175674438477,True
previous_patch,39,4,42,0.3062680959701538,True
previous_patch,39,5,43,0.4349309206008911,True
previous_patch,40,1,40,0.3095409870147705,True
previous_patch,40,2,41,-0.02570056915283203,True
previous_patch,40,3,42,0.2823594808578491,True
previous_patch,40,4,43,0.30185532569885254,True
previous_patch,40,5,44,0.026004038751125336,True
previous_patch,41,1,41,0.23063743114471436,True
previous_patch,41,2,42,0.005011320114135742,True
previous_patch,41,3,43,0.27521812915802,True
previous_patch,41,4,44,0.2932608127593994,True
previous_patch,41,5,45,0.31428262591362,True
previous_patch,42,1,42,0.1997051239013672,True
previous_patch,42,2,43,0.0012377500534057617,True
previous_patch,42,3,44,0.22399306297302246,True
previous_patch,42,4,45,0.2704133987426758,True
previous_patch,42,5,46,0.270279198884964,True
previous_patch,43,1,43,0.18221700191497803,True
previous_patch,43,2,44,0.02887725830078125,True
previous_patch,43,3,45,0.1777430772781372,True
previous_patch,43,4,46,0.25464320182800293,True
previous_patch,43,5,47,0.017346706241369247,True
previous_patch,44,1,44,0.138405442237854,True
previous_patch,44,2,45,-0.007506370544433594,True
previous_patch,44,3,46,0.1756826639175415,True
previous_patch,44,4,47,0.24122309684753418,True
previous_patch,44,5,48,0.25684159994125366,True
previous_patch,45,1,45,-0.06433075666427612,True
previous_patch,45,2,46,-0.04295384883880615,True
previous_patch,45,3,47,0.0892263650894165,True
previous_patch,45,4,48,0.209905743598938,True
previous_patch,45,5,49,0.456693559885025,True
previous_patch,46,1,46,-0.030253827571868896,True
previous_patch,46,2,47,-0.04417824745178223,True
previous_patch,46,3,48,-0.007606923580169678,True
previous_patch,46,4,49,0.1770542860031128,True
previous_patch,46,5,50,0.1781373769044876,True
previous_patch,47,1,47,-0.05433022975921631,True
previous_patch,47,2,48,-0.006586253643035889,True
previous_patch,47,3,49,-0.03116917610168457,True
previous_patch,47,4,50,0.1465522050857544,True
previous_patch,47,5,51,-0.06124027073383331,True
previous_patch,48,1,48,0.02975904941558838,True
previous_patch,48,2,49,-0.041028499603271484,True
previous_patch,48,3,50,-0.02421945333480835,True
previous_patch,48,4,51,0.11952853202819824,True
previous_patch,48,5,52,0.12277764827013016,True
previous_patch,49,1,49,-0.01983088254928589,True
previous_patch,49,2,50,0.05465984344482422,True
previous_patch,49,3,51,-0.01675623655319214,True
previous_patch,49,4,52,0.09041869640350342,True
previous_patch,49,5,53,0.08823437988758087,True
previous_patch,50,1,50,-0.08283644914627075,True
previous_patch,50,2,51,0.012888550758361816,True
previous_patch,50,3,52,-0.032640039920806885,True
previous_patch,50,4,53,0.06058192253112793,True
previous_patch,50,5,54,-0.17672593891620636,True
previous_patch,51,1,51,-0.12845605611801147,True
previous_patch,51,2,52,0.0340191125869751,True
previous_patch,51,3,53,-0.08777463436126709,True
previous_patch,51,4,54,0.022009611129760742,True
previous_patch,51,5,55,-0.08710096031427383,True
previous_patch,52,1,52,-0.04722410440444946,True
previous_patch,52,2,53,-0.002715885639190674,True
previous_patch,52,3,54,-0.11244446039199829,True
previous_patch,52,4,55,-0.004534661769866943,True
previous_patch,52,5,56,0.08472340553998947,True
previous_patch,53,1,53,0.0026379823684692383,True
previous_patch,53,2,54,-0.012127697467803955,True
previous_patch,53,3,55,-0.05746042728424072,True
previous_patch,53,4,56,-0.022820591926574707,True
previous_patch,53,5,57,0.29860806465148926,True
previous_patch,54,1,54,-0.020788609981536865,True
previous_patch,54,2,55,-0.03330659866333008,True
previous_patch,54,3,56,-0.01338118314743042,True
previous_patch,54,4,57,-0.03845280408859253,True
previous_patch,54,5,58,0.7311001420021057,True
previous_patch,55,1,55,0.07062268257141113,True
previous_patch,55,2,56,-0.009399354457855225,True
previous_patch,55,3,57,0.015817761421203613,True
previous_patch,55,4,58,-0.03522616624832153,True
previous_patch,55,5,59,0.23255741596221924,True
previous_patch,56,1,56,0.30486762523651123,True
previous_patch,56,2,57,-0.0016428232192993164,True
previous_patch,56,3,58,0.13950777053833008,True
previous_patch,56,4,59,-0.009000182151794434,True
previous_patch,56,5,60,0.025176284834742546,True
previous_patch,57,1,57,0.2834169864654541,True
previous_patch,57,2,58,0.011404037475585938,True
previous_patch,57,3,59,0.25637364387512207,True
previous_patch,57,4,60,0.020240068435668945,True
previous_patch,57,5,61,-0.09652040153741837,True
previous_patch,58,1,58,0.26795363426208496,True
previous_patch,58,2,59,-0.012537002563476562,True
previous_patch,58,3,60,0.26853370666503906,True
previous_patch,58,4,61,0.047409772872924805,True
previous_patch,58,5,62,0.3704379200935364,True
previous_patch,59,1,59,0.2580066919326782,True
previous_patch,59,2,60,0.022354841232299805,True
previous_patch,59,3,61,0.266560435295105,True
previous_patch,59,4,62,0.07448887825012207,True
previous_patch,59,5,63,0.13226574659347534,True
previous_patch,60,1,60,0.19346487522125244,True
previous_patch,60,2,61,0.058359384536743164,True
previous_patch,60,3,62,0.23285627365112305,True
